Sn,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,imdb_score,budget,gross,profit_percent,Hit/Flop
1,Avatar,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action|Adventure|Fantasy|Sci-Fi,7.9,237000000,760505847,2.20888543,HIT
2,Pirates of the Caribbean: At World's End,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action|Adventure|Fantasy,7.1,300000000,309404152,0.031347173,HIT
3,Spectre,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action|Adventure|Thriller,6.8,245000000,200074175,-0.183370714,FLOP
4,The Dark Knight Rises,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action|Thriller,8.5,250000000,448130642,0.792522568,HIT
6,John Carter,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action|Adventure|Sci-Fi,6.6,263700000,73058679,-0.722947747,FLOP
7,Spider-Man 3,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Romance,6.2,258000000,336530303,0.304381019,HIT
8,Tangled,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,7.8,260000000,200807262,-0.227664377,FLOP
9,Avengers: Age of Ultron,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action|Adventure|Sci-Fi,7.5,250000000,458991599,0.835966396,HIT
10,Harry Potter and the Half-Blood Prince,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure|Family|Fantasy|Mystery,7.5,250000000,301956980,0.20782792,HIT
11,Batman v Superman: Dawn of Justice,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action|Adventure|Sci-Fi,6.9,250000000,330249062,0.320996248,HIT
12,Superman Returns,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action|Adventure|Sci-Fi,6.1,209000000,200069408,-0.042730105,FLOP
13,Quantum of Solace,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action|Adventure,6.7,200000000,168368427,-0.158157865,FLOP
14,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action|Adventure|Fantasy,7.3,225000000,423032628,0.880145013,HIT
15,The Lone Ranger,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action|Adventure|Western,6.5,215000000,89289910,-0.584698093,FLOP
16,Man of Steel,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action|Adventure|Fantasy|Sci-Fi,7.2,225000000,291021565,0.293429178,HIT
17,The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action|Adventure|Family|Fantasy,6.6,225000000,141614023,-0.370604342,FLOP
18,The Avengers,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action|Adventure|Sci-Fi,8.1,220000000,623279547,1.83308885,HIT
19,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action|Adventure|Fantasy,6.7,250000000,241063875,-0.0357445,FLOP
20,Men in Black 3,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,6.8,225000000,179020854,-0.20435176,FLOP
21,The Hobbit: The Battle of the Five Armies,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,7.5,250000000,255108370,0.02043348,HIT
22,The Amazing Spider-Man,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action|Adventure|Fantasy,7,230000000,262030663,0.139263752,HIT
23,Robin Hood,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action|Adventure|Drama|History,6.7,200000000,105219735,-0.473901325,FLOP
24,The Hobbit: The Desolation of Smaug,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure|Fantasy,7.9,225000000,258355354,0.148246018,HIT
25,The Golden Compass,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure|Family|Fantasy,6.1,180000000,70083519,-0.610647117,FLOP
26,King Kong,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action|Adventure|Drama|Romance,7.2,207000000,218051260,0.053387729,HIT
27,Titanic,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama|Romance,7.7,200000000,658672302,2.29336151,HIT
28,Captain America: Civil War,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action|Adventure|Sci-Fi,8.2,250000000,407197282,0.628789128,HIT
29,Battleship,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action|Adventure|Sci-Fi|Thriller,5.9,209000000,65173160,-0.688166699,FLOP
30,Jurassic World,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action|Adventure|Sci-Fi|Thriller,7,150000000,652177271,3.347848473,HIT
31,Skyfall,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action|Adventure|Thriller,7.8,200000000,304360277,0.521801385,HIT
32,Spider-Man 2,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action|Adventure|Fantasy|Romance,7.3,200000000,373377893,0.866889465,HIT
33,Iron Man 3,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action|Adventure|Sci-Fi,7.2,200000000,408992272,1.04496136,HIT
34,Alice in Wonderland,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure|Family|Fantasy,6.5,200000000,334185206,0.67092603,HIT
35,X-Men: The Last Stand,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action|Adventure|Fantasy|Sci-Fi|Thriller,6.8,210000000,234360014,0.116000067,HIT
36,Monsters University,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure|Animation|Comedy|Family|Fantasy,7.3,200000000,268488329,0.342441645,HIT
37,Transformers: Revenge of the Fallen,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action|Adventure|Sci-Fi,6,200000000,402076689,1.010383445,HIT
38,Transformers: Age of Extinction,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action|Adventure|Sci-Fi,5.7,210000000,245428137,0.168705414,HIT
39,Oz the Great and Powerful,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure|Family|Fantasy,6.4,215000000,234903076,0.092572447,HIT
40,The Amazing Spider-Man 2,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action|Adventure|Fantasy|Sci-Fi,6.7,200000000,202853933,0.014269665,HIT
41,TRON: Legacy,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action|Adventure|Sci-Fi,6.8,170000000,172051787,0.012069335,HIT
42,Cars 2,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure|Animation|Comedy|Family|Sport,6.3,200000000,191450875,-0.042745625,FLOP
43,Green Lantern,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action|Adventure|Sci-Fi,5.6,200000000,116593191,-0.417034045,FLOP
44,Toy Story 3,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure|Animation|Comedy|Family|Fantasy,8.3,200000000,414984497,1.074922485,HIT
